TIME,elapsed_time,ax,ay,az,gx,gy,gz,angx,angy,HEADING,temp,pressure,alt,lat,longi,gpsalt,light
2023-07-27 07:49:43,10.704,-0.07,-0.01,1.06,0.37,-0.06,-0.04,-0.39,3.82,343.39,25.21,100738.0,1.05,36.365,127.346,0.0,60.0
2023-07-27 07:49:43,10.8305,-0.07,-0.01,1.07,0.18,-0.17,-0.18,-0.37,3.87,344.7,25.22,100737.0,1.11,36.365,127.346,0.0,59.0
2023-07-27 07:49:43,10.9322,-0.07,-0.01,1.07,0.5,-0.13,-0.14,-0.29,3.99,343.39,25.21,100735.0,1.33,36.365,127.346,0.0,59.0
2023-07-27 07:49:43,11.0361,-0.07,0.0,1.07,0.14,-0.04,-0.37,-0.13,3.72,344.32,25.2,100738.0,1.02,36.365,127.346,0.0,60.0
2023-07-27 07:49:43,11.1382,-0.07,-0.01,1.07,0.24,0.24,-0.01,-0.44,3.92,343.66,25.2,100738.0,1.08,36.365,127.346,0.0,63.0
2023-07-27 07:49:43,11.2768,-0.07,-0.01,1.07,0.24,-0.08,-0.05,-0.34,3.91,344.58,25.19,100735.0,1.24,36.365,127.346,0.0,58.0
2023-07-27 07:49:43,11.4105,-0.07,0.0,1.07,0.08,0.19,-0.39,-0.25,3.81,343.99,25.2,100738.0,1.03,36.365,127.346,0.0,58.0
2023-07-27 07:49:43,11.5456,-0.07,-0.01,1.07,0.13,-0.05,0.12,-0.39,3.86,343.99,25.2,100735.0,1.27,36.365,127.346,0.0,59.0
2023-07-27 07:49:44,11.6573,-0.07,-0.01,1.06,0.38,-0.18,-0.11,-0.42,3.73,343.25,25.2,100739.0,0.91,36.365,127.346,0.0,60.0
2023-07-27 07:49:44,11.7586,-0.07,-0.01,1.07,0.4,0.14,-0.12,-0.34,3.9,343.21,25.2,100739.0,0.81,36.365,127.346,0.0,60.0
2023-07-27 07:49:44,11.8698,-0.07,0.0,1.07,0.28,0.37,0.09,-0.22,3.64,343.53,25.2,100739.0,0.94,36.365,127.346,0.0,60.0
2023-07-27 07:49:44,11.9601,-0.07,-0.01,1.07,0.15,0.12,-0.24,-0.59,3.69,343.72,25.2,100740.0,0.89,36.365,127.346,0.0,60.0
2023-07-27 07:49:44,12.0761,-0.07,-0.01,1.07,0.32,0.24,-0.07,-0.37,3.68,343.53,25.2,100740.0,0.84,36.365,127.346,0.0,58.0
2023-07-27 07:49:44,12.1807,-0.07,-0.01,1.07,0.4,-0.09,-0.21,-0.65,3.8,343.99,25.2,100739.0,0.96,36.365,127.346,0.0,62.0
2023-07-27 07:49:44,12.4805,-0.07,-0.01,1.07,0.11,-0.14,-0.07,-0.29,3.67,344.32,25.2,100740.0,0.84,36.365,127.346,0.0,58.0
2023-07-27 07:49:45,12.9208,-0.07,-0.01,1.07,0.25,-0.24,-0.27,-0.48,3.79,342.79,25.19,100740.0,0.92,36.365,127.346,0.0,58.0
